"Time","Area","Mean_Radius","Intensity_KTR_Cyan","Intensity_KTR_Green","Math_RatioCyan","Math_RatioGreen","Object_Label","Time_in_min"
2,227,1.3617,0.0187,0.0304,0.4078,0.7534,395,4.5
2,140,1.3341,0.0126,0.0305,0.416,0.9915,396,4.5
2,186,1.4139,0.0127,0.0289,0.3696,0.7775,397,4.5
2,168,1.2965,0.0163,0.0289,0.3776,0.6864,403,4.5
2,195,1.3831,0.0228,0.0316,0.4888,0.6897,405,4.5
2,131,1.4428,0.0261,0.0313,0.9118,1.1336,404,4.5
2,212,1.3801,0.0209,0.0325,0.4763,0.8868,406,4.5
2,217,1.5241,0.0144,0.0273,0.3833,0.7074,407,4.5
2,117,1.4234,0.0119,0.0298,0.4933,0.8964,421,4.5
2,193,1.3971,0.0206,0.0302,0.3999,0.5824,422,4.5
2,154,1.3252,0.0204,0.0286,0.5947,0.9307,423,4.5
2,231,1.5015,0.0186,0.0306,0.4416,0.8028,432,4.5
2,216,1.5376,0.0217,0.0255,0.5994,0.8362,428,4.5
2,199,1.389,0.0171,0.0293,0.5299,0.828,444,4.5
2,179,1.4926,0.0181,0.0329,0.4217,0.9978,449,4.5
2,155,1.3055,0.013,0.0249,0.4136,0.8388,456,4.5
2,130,1.5087,0.015,0.0305,0.479,0.7514,457,4.5
2,148,1.4069,0.0181,0.0267,0.4904,0.8032,458,4.5
2,146,1.4221,0.0174,0.027,0.5533,1.257,462,4.5
2,175,1.412,0.0132,0.0335,0.4243,0.8276,466,4.5
2,116,1.247,0.023,0.0208,0.4977,0.4081,475,4.5
2,188,1.366,0.0183,0.0307,0.3971,0.6158,495,4.5
2,163,1.3275,0.0157,0.0262,0.5773,0.7497,492,4.5
2,194,1.382,0.0189,0.0373,0.4092,0.7807,500,4.5
2,173,1.393,0.0239,0.0367,0.5936,0.929,502,4.5
2,101,1.2753,0.0244,0.0327,0.5655,0.7743,505,4.5
2,184,1.4914,0.0239,0.0331,0.5632,0.7974,516,4.5
2,133,1.3748,0.0152,0.0277,0.4464,1.0794,523,4.5
